Opportunity_ID,Target
10689,0.68016404
10690,0.71214944
10691,0.8485142
10692,0.6209415
10693,0.7950104
10694,0.7950104
10695,0.5423091
10696,0.5322944
10697,0.52538335
10698,0.55082905
10699,0.53449863
10700,0.44328612
10701,0.44328612
10702,0.41471553
10703,0.44328612
10704,0.5390653
10705,0.7197535
10706,0.4718401
10707,0.41956592
10708,0.40354797
10709,0.7970882
10710,0.39149225
10711,0.39149225
10712,0.46869645
10713,0.39149225
10714,0.3270728
10715,0.81000865
10716,0.7970882
10717,0.35874423
10718,0.8363533
10719,0.7251877
10720,0.12868477
10721,0.63369346
10722,0.5008224
10723,0.5200323
10724,0.5348371
10725,0.7950104
10726,0.57272327
10727,0.25468937
10728,0.7970882
10729,0.37603748
10730,0.83796537
10731,0.57160026
10732,0.3295929
10733,0.3295929
10734,0.3401354
10735,0.7251877
10736,0.81000865
10737,0.6327119
10738,0.7638426
10739,0.7536983
10740,0.37217054
10741,0.7950104
10742,0.76789445
10743,0.51741606
10744,0.55771893
10745,0.55771893
10746,0.5700271
10747,0.5700271
10748,0.50948673
10749,0.6327119
10750,0.49737656
10751,0.3200217
10752,0.3200217
10753,0.44774756
10754,0.8300844
10755,0.7251877
10756,0.83512294
10757,0.79354584
10758,0.6132109
10759,0.6496218
10760,0.12744889
10761,0.83512294
10762,0.7970882
10763,0.7086254
10764,0.5694041
10765,0.2189552
10766,0.45093507
10767,0.48039302
10768,0.1530872
10769,0.36373773
10770,0.3401354
10771,0.5248174
10772,0.5510876
10773,0.75669235
10774,0.10038694
10775,0.077893905
10776,0.21781495
10777,0.5377421
10778,0.7829103
10779,0.85706156
10780,0.8394212
10781,0.5899301
10782,0.22633322
10783,0.13806173
10784,0.80455685
10785,0.3068957
10786,0.37004468
10787,0.7419419
10788,0.50564575
10789,0.28086802
10790,0.3068957
10791,0.84903795
10792,0.3712588
10793,0.44811267
10794,0.44811267
10795,0.5694041
10796,0.5763231
10797,0.44526106
10798,0.65471196
10799,0.53019005
10800,0.44526106
10801,0.22901708
10802,0.42920765
10803,0.030853437
10804,0.97953856
10805,0.02799981
10806,0.7883227
10807,0.33809394
10808,0.31379187
10809,0.7932052
10810,0.099727556
10811,0.74122775
10812,0.57483786
10813,0.14875415
10814,0.12735508
10815,0.7829103
10816,0.5533402
10817,0.08867458
10818,0.5533402
10819,0.5533402
10820,0.50775135
10821,0.7040605
10822,0.06817074
10823,0.538826
10824,0.35816976
10825,0.5694041
10826,0.6282004
10827,0.7956346
10828,0.86319584
10829,0.8736915
10830,0.6566104
10831,0.79711837
10832,0.3712588
10833,0.30880553
10834,0.3601376
10835,0.6649917
10836,0.8216169
10837,0.27651662
10838,0.7746507
10839,0.6374592
10840,0.20325994
10841,0.65434957
10842,0.767825
10843,0.7585517
10844,0.6674601
10845,0.8499782
10846,0.3068957
10847,0.3601376
10848,0.63812953
10849,0.49075606
10850,0.6139449
10851,0.13198504
10852,0.7251877
10853,0.7301953
10854,0.7759068
10855,0.8175245
10856,0.54092175
10857,0.74723697
10858,0.86781466
10859,0.25588647
10860,0.09137304
10861,0.17363064
10862,0.33812657
10863,0.34890807
10864,0.77609867
10865,0.76795197
10866,0.045957908
10867,0.110575296
10868,0.83892345
10869,0.13580507
10870,0.490814
10871,0.8609309
10872,0.09516659
10873,0.2189552
10874,0.48039302
10875,0.5674164
10876,0.8452651
10877,0.8380561
10878,0.30538684
10879,0.10682653
10880,0.15819986
10881,0.6288799
10882,0.16342478
10883,0.3890243
10884,0.5096829
10885,0.6518586
10886,0.50766337
10887,0.33383408
10888,0.5501751
10889,0.681727
10890,0.5501751
10891,0.54092175
10892,0.61563396
10893,0.70672005
10894,0.6288799
10895,0.7040605
10896,0.42879528
10897,0.3068957
10898,0.06436136
10899,0.37689555
10900,0.8155383
10901,0.85119003
10902,0.36818573
10903,0.3068957
10904,0.8957646
10905,0.66139346
10906,0.7086254
10907,0.7970882
10908,0.10932288
10909,0.7746507
10910,0.4551548
10911,0.70672005
10912,0.85181695
10913,0.5749839
10914,0.91300404
10915,0.72339785
10916,0.7251877
10917,0.22700961
10918,0.72339785
10919,0.045957908
10920,0.49904862
10921,0.79711837
10922,0.49904862
10923,0.707966
10924,0.681727
10925,0.8093446
10926,0.7251877
10927,0.6496218
10928,0.5867666
10929,0.74498224
10930,0.63516587
10931,0.7956346
10932,0.7956346
10933,0.79354584
10934,0.6733607
10935,0.6309694
10936,0.58123064
10937,0.36624095
10938,0.2189552
10939,0.46128058
10940,0.7738943
10941,0.71046007
10942,0.490814
10943,0.495711
10944,0.14278454
10945,0.14388509
10946,0.814481
10947,0.5876513
10948,0.33057648
10949,0.7956346
10950,0.5129274
10951,0.5858364
10952,0.76596206
10953,0.046104502
10954,0.7529588
10955,0.1654465
10956,0.1103379
10957,0.1654465
10958,0.1103379
10959,0.13096158
10960,0.70672005
10961,0.63161045
10962,0.6305424
10963,0.3712588
10964,0.81060797
10965,0.06100761
10966,0.66139346
10967,0.80409056
10968,0.3601376
10969,0.7829103
10970,0.22115168
10971,0.79978514
10972,0.09349636
10973,0.34154528
10974,0.34017727
10975,0.8571008
10976,0.85181695
10977,0.68765897
10978,0.48853073
10979,0.79711837
10980,0.65189034
10981,0.67200637
10982,0.28598726
10983,0.28598726
10984,0.17265466
10985,0.21231869
10986,0.20255469
10987,0.28103864
10988,0.6808628
10989,0.087912045
10990,0.12193334
10991,0.08512264
10992,0.060225315
10993,0.8436142
10994,0.36795777
10995,0.35121322
10996,0.34127167
10997,0.10108297
10998,0.7932052
10999,0.8628329
11000,0.3360911
11001,0.37004468
11002,0.4919708
11003,0.73307014
11004,0.72339785
11005,0.12590031
11006,0.49040282
11007,0.681727
11008,0.08156579
11009,0.8367448
11010,0.8367448
11011,0.75432837
11012,0.7859963
11013,0.11402095
11014,0.6822391
11015,0.3683237
11016,0.37743944
11017,0.6032865
11018,0.14388509
11019,0.6204888
11020,0.1260077
11021,0.6496218
11022,0.6890262
11023,0.8571615
11024,0.10350913
11025,0.49858168
11026,0.49858168
11027,0.5008224
11028,0.3817103
11029,0.50342536
11030,0.29531482
11031,0.6434076
11032,0.28598726
11033,0.86319584
11034,0.31078094
11035,0.056581266
11036,0.7956346
11037,0.6535488
11038,0.65557534
11039,0.6808628
11040,0.7746507
11041,0.6469681
11042,0.5842217
11043,0.7154406
11044,0.32078865
11045,0.120118044
11046,0.50279963
11047,0.7970882
11048,0.7464267
11049,0.15294981
11050,0.3712588
11051,0.72339785
11052,0.12935835
11053,0.32859603
11054,0.77099013
11055,0.2412394
11056,0.8571615
11057,0.29917267
11058,0.20874174
11059,0.575761
11060,0.28971705
11061,0.13037117
11062,0.1355053
11063,0.3068957
11064,0.20255469
11065,0.7950104
11066,0.5326066
11067,0.3606898
11068,0.5326066
11069,0.34573284
11070,0.8930707
11071,0.7932052
11072,0.72339785
11073,0.780249
11074,0.5868328
11075,0.3487156
11076,0.5558627
11077,0.80207956
11078,0.32078865
11079,0.35869083
11080,0.6152216
11081,0.64280343
11082,0.6559882
11083,0.23485881
11084,0.5126528
11085,0.61658025
11086,0.8478109
11087,0.84288174
11088,0.050572027
11089,0.7148056
11090,0.33940777
11091,0.3058644
11092,0.5423091
11093,0.5447326
11094,0.75833863
11095,0.48537692
11096,0.48537692
11097,0.08662307
11098,0.123168305
11099,0.35668495
11100,0.40125638
11101,0.39149225
11102,0.33503693
11103,0.33812657
11104,0.6032865
11105,0.40125638
11106,0.33925962
11107,0.58388734
11108,0.8267168
11109,0.70672005
11110,0.65857506
11222,0.7573402
11223,0.46933308
11224,0.40987033
11225,0.5899301
11226,0.66139346
11227,0.14924921
11228,0.5501751
11229,0.7956346
11230,0.67162716
11231,0.7104725
11232,0.60070795
11233,0.85085285
11234,0.7956346
11235,0.35668495
11236,0.9780609
11237,0.07822778
11238,0.72339785
11239,0.7251877
11240,0.28103864
11241,0.8534251
11242,0.5798212
11243,0.13883997
11244,0.35668495
11245,0.78178316
11246,0.2468168
11247,0.15874542
11248,0.20011225
11249,0.78385097
11250,0.07209694
11251,0.5106412
11252,0.561289
11253,0.6365139
11254,0.36759722
11255,0.75952774
11256,0.7956346
11257,0.21339902
11258,0.0930277
11259,0.72339785
11260,0.85987264
11261,0.4237292
11262,0.8100214
11263,0.55810314
11264,0.54076827
11265,0.6011414
11266,0.019454388
11267,0.49858168
11268,0.5008224
11269,0.100583054
11270,0.13856123
11271,0.085869834
11272,0.5431466
11273,0.85362434
11274,0.79072106
11275,0.85683984
11276,0.3068957
11277,0.40074256
11278,0.4520604
11279,0.13495152
11280,0.38630036
11281,0.54092175
11282,0.68162805
11283,0.03956337
11284,0.095512845
11285,0.40727368
11286,0.13580507
11287,0.7956346
11288,0.29140624
11289,0.33812657
11290,0.37004468
11291,0.14924921
11292,0.72339785
11293,0.5694041
11294,0.48992687
11295,0.83631164
11296,0.19432999
11297,0.014449361
11298,0.35874423
11299,0.49858168
11300,0.35494542
11301,0.6653458
11302,0.44774756
11303,0.7829103
11304,0.7434072
11305,0.060225315
11306,0.13586026
11307,0.5533402
11308,0.72339785
11309,0.7115057
11310,0.48851627
11311,0.41253698
11312,0.3200217
11313,0.65189034
11314,0.37004468
11315,0.51012045
11316,0.8709965
11317,0.25226766
11318,0.4635464
11319,0.75203675
11320,0.78178316
11321,0.20534039
11322,0.4852803
11323,0.51217633
11324,0.6305424
11325,0.37860137
11326,0.5099367
11327,0.5620288
11328,0.6682472
11329,0.33925962
11330,0.70672005
11331,0.2468168
11332,0.7759068
11333,0.78385097
11334,0.78385097
11335,0.57483786
11336,0.23813564
11337,0.28598726
11338,0.37004468
11339,0.37954777
11340,0.14989267
11341,0.31530505
11342,0.71980137
11343,0.35862565
11344,0.21029451
11345,0.83298993
11346,0.045145962
11347,0.41642722
11348,0.7956346
11349,0.70672005
11350,0.32006228
11351,0.10272445
11352,0.7956933
